epoch,acc,loss,val_acc,val_loss
0,0.356875,5.583551115989685,0.42,5.0387686920166015
1,0.208125,5.173669805526734,0.42,4.764906120300293
2,0.30875,4.797253003120423,0.43,6.592701568603515
3,0.368125,5.098646109104156,0.41,10.377773323059081
4,0.3825,4.808503270149231,0.42,6.44997163772583
5,0.395625,4.733055226802826,0.42,5.664535026550293
6,0.413125,4.43946976184845,0.42,4.855928516387939
7,0.395,4.276140041351319,0.42,4.555465803146363
8,0.4175,4.480300178527832,0.41,4.874893760681152
9,0.388125,4.437326710224152,0.41,4.148106031417846
10,0.409375,4.421392288208008,0.42,4.734945669174194
11,0.405625,4.171026833057404,0.46,3.8988394737243652
12,0.401875,4.402089328765869,0.42,4.122699222564697
13,0.4,4.381436655521393,0.45,4.165390672683716
14,0.425,4.141291966438294,0.42,3.8976444816589355
15,0.408125,4.126928899288178,0.43,3.8118167400360106
16,0.3725,4.0460320615768435,0.49,3.639523916244507
17,0.401875,3.985611927509308,0.44,3.773936529159546
18,0.395625,4.0260007238388065,0.45,3.969147071838379
19,0.419375,4.068618068695068,0.5,3.6893541049957275
20,0.3925,4.131016268730163,0.33,4.713410806655884
21,0.390625,4.30075570344925,0.42,3.907093448638916
22,0.399375,4.214438438415527,0.46,3.6953430461883543
23,0.395625,4.176581428050995,0.49,4.513588371276856
24,0.41125,4.041116926670075,0.5,5.228276596069336
25,0.393125,4.140630118846893,0.52,3.721289539337158
26,0.425625,4.10946753025055,0.41,3.779037799835205
27,0.413125,4.072854776382446,0.54,4.239325904846192
28,0.418125,4.1667653632164,0.4,3.8235040855407716
29,0.433125,4.156012575626374,0.54,3.8758578491210938
30,0.431875,4.24740238904953,0.41,3.9342169189453124
31,0.42125,4.303644888401031,0.35,3.882303304672241
32,0.394375,4.2435558414459225,0.38,4.124693145751953
33,0.40375,4.589265780448914,0.39,8.272093772888184
34,0.376875,4.157440145015716,0.41,4.3598478889465335
35,0.42375,4.225774583816528,0.43,3.7974035358428955
36,0.4075,4.135527415275574,0.45,3.9248921394348146
37,0.43,4.1233118057250975,0.5,4.17970754623413
38,0.391875,4.487703516483307,0.48,4.138699531555176
39,0.400625,4.134636676311493,0.43,4.074205913543701
40,0.41375,4.500587928295135,0.5,5.087770175933838
41,0.415625,4.419837760925293,0.49,3.8487971687316893
42,0.398125,4.17407469034195,0.5,3.9029572868347167
43,0.411875,4.250895595550537,0.51,3.810408897399902
44,0.425,4.18258184671402,0.52,3.8838047695159914
45,0.410625,4.271221463680267,0.47,3.919898738861084
46,0.451875,4.151629767417908,0.46,3.7722710037231444
47,0.415,4.101857438087463,0.47,3.555445442199707
48,0.39625,4.302169189453125,0.47,5.712250003814697
49,0.424375,4.327391338348389,0.51,3.4683257293701173
50,0.43375,4.264823853969574,0.51,3.572912769317627
51,0.428125,4.0321236419677735,0.53,3.359609909057617
52,0.455625,4.180634033679962,0.51,3.7998836135864256
53,0.441875,4.045538012981415,0.5,3.468498764038086
54,0.445,4.113922703266144,0.5,3.441978874206543
55,0.42375,3.836479527950287,0.5,3.6667358970642088
56,0.416875,3.9863864898681642,0.47,3.7286858654022215
57,0.421875,4.005183675289154,0.44,5.703627243041992
58,0.428125,3.986973431110382,0.49,3.8357880020141604
59,0.465,3.9582227540016173,0.47,3.365160140991211
60,0.430625,3.68026641368866,0.51,3.4717446517944337
61,0.431875,3.861158857345581,0.49,3.798464412689209
62,0.46625,3.8810836458206177,0.51,3.5656600761413575
63,0.44375,3.8224654531478883,0.5,3.4622561073303224
64,0.438125,3.6849754905700682,0.51,3.4456912231445314
65,0.446875,3.789351646900177,0.48,3.388854160308838
66,0.428125,3.821735050678253,0.48,3.7569113063812254
67,0.45,3.749869349002838,0.51,3.648698787689209
68,0.443125,3.7164172458648683,0.5,3.44860387802124
69,0.436875,3.760538055896759,0.48,3.3335053157806396
70,0.43375,3.683112426996231,0.48,3.4610227394104003
71,0.44375,3.7854884672164917,0.46,3.3229927253723144
72,0.4525,3.7933741092681883,0.51,3.3944787788391113
73,0.433125,3.844547333717346,0.49,3.2299893283843994
74,0.44625,3.718476197719574,0.49,3.2496704864501953
75,0.411875,3.65713974237442,0.48,3.225768232345581
76,0.436875,3.8427838826179506,0.48,3.757922248840332
77,0.45,3.73374892950058,0.55,3.2847736930847167
78,0.454375,3.6274250864982607,0.52,3.287229051589966
79,0.43375,3.731587483882904,0.49,3.2191460609436033
80,0.4525,3.6226318144798277,0.49,3.253442907333374
81,0.44125,3.622044641971588,0.53,3.202324962615967
82,0.433125,3.727016863822937,0.48,3.1949108695983885
83,0.4425,3.643229863643646,0.48,3.3342066955566407
84,0.461875,3.7938428282737733,0.49,3.2330656623840333
85,0.454375,3.890817954540253,0.59,3.229170255661011
86,0.440625,3.906291432380676,0.45,4.134323062896729
87,0.425,3.944157519340515,0.48,3.8040264511108397
88,0.455625,3.9268915700912475,0.51,4.016782035827637
89,0.430625,3.923752775192261,0.48,3.570517454147339
90,0.4275,4.0381558072566985,0.47,3.7651938819885253
91,0.453125,3.7826466798782348,0.47,3.9002936553955077
92,0.425,3.934471483230591,0.51,3.583135871887207
